Sample,Histone_Mark,Antibody,DNA_Method,PCR_Cycles,MACS2,GoPeaks,SEACR_Stringent,SEACR_Relaxed
SRR31972716,H3K27ac,Diagenode,column,13,762,1649,4644,479923
SRR31972717,H3K27me3,CST,column,13,10974,12638,8921,977542
SRR31972718,H3K27ac,ActiveMotif,column,13,942,1812,4758,489622
SRR31972719,H3K27ac,Abcam-4729,column,13,4679,7684,5262,543081
SRR31972720,H3K27ac,Abcam-177178,column,13,11687,15346,12249,1275593
SRR31972721,H3K27ac,Diagenode,SDS,15,7969,6900,4531,465034
SRR31972722,H3K27ac,Abcam-4729,SDS,15,11149,19838,23296,2416408
SRR31972723,H3K27ac,Abcam-177178,SDS,15,1868,4733,7455,776696
SRR31972724,H3K27ac,Diagenode,SDS,15,19593,16582,10168,1027889
SRR31972725,H3K27ac,Diagenode,SDS,15,7383,8721,8058,834195
SRR31972726,H3K27me3,CST,SDS,15,36952,14377,10756,1080881
SRR31972727,H3K27ac,ActiveMotif,SDS,15,2109,1928,3347,338169
SRR31972728,H3K27ac,Abcam-4729,SDS,15,28291,18566,10808,1015506
SRR31972729,H3K27ac,Diagenode,SDS,13,10138,10397,10369,1104814
SRR31972730,H3K27me3,CST,SDS,13,30786,14279,10397,1086497
SRR31972731,H3K27ac,ActiveMotif,SDS,13,3264,6707,8936,925815
SRR31972732,H3K27ac,Abcam-4729,SDS,13,7743,11402,8189,849517
SRR31972733,H3K27ac,Abcam-177178,SDS,13,9598,14977,11361,1187055
SRR31972734,H3K27ac,Diagenode,column,11,1671,3858,5310,543642
SRR31972735,H3K27me3,CST,column,11,10838,11823,8389,910779
SRR31972736,H3K27ac,ActiveMotif,column,11,1556,3578,5238,537202
SRR31972737,H3K27ac,Abcam-177178,SDS,15,10213,19154,16949,1753071
SRR31972738,H3K27me3,CST,SDS,15,54067,12598,9120,741722
SRR31972739,H3K27me3,CST,SDS,15,50938,12475,9063,771218
SRR31972740,H3K27ac,Diagenode,SDS,15,29125,16740,13318,1158243
SRR31972741,H3K27ac,Diagenode,SDS,15,23946,15491,11720,1085407
SRR31972742,H3K27ac,Abcam-4729,SDS,15,27261,16906,11335,979091
SRR31972743,H3K27ac,Abcam-4729,SDS,15,24102,16669,14936,1526473
SRR31972744,H3K27ac,Abcam-177178,SDS,15,31520,18317,16398,1487416
SRR31972745,H3K27ac,Abcam-4729,column,11,7059,9074,5974,604584
SRR31972746,H3K27ac,Abcam-177178,column,11,1564,5043,9263,944486
SRR31972747,H3K27ac,Diagenode,SDS,11,2294,4458,5626,582710
SRR31972748,H3K27me3,CST,SDS,11,4706,12462,9339,999135
SRR31972749,H3K27ac,ActiveMotif,SDS,11,1829,3664,5305,542293
SRR31972750,H3K27ac,Abcam-4729,SDS,11,9260,11879,10012,1047827
SRR31972751,H3K27ac,Abcam-177178,SDS,11,5912,18943,18402,1923516
SRR31972752,H3K27ac,Diagenode,SDS,15,5031,6080,6513,691221
SRR31972753,H3K27ac,Abcam-177178,SDS,15,32542,18339,16070,1483122
SRR31972753,H3K27ac,Abcam-177178,SDS,15,32542,18339,16070,1483122
